target_chembl_id,isoform_ids,isoform_names,isoforms,organism,pH_dependence,primaryAccession,target_names,uniprot_id
CHEMBL5553,O00571-1|O00571-2,1|2,2,Homo sapiens,,O00571,DDX3X | X isoform | DDX3 | HLP2 | CAP-Rf | ATP-dependent RNA helicase DDX3X | DEAD box protein 3 | DEAD box | X-chromosomal | Helicase-like protein 2 | DBX,O00571
CHEMBL3180,O00748-1|O00748-2|O00748-4|O00748-5,1|2|3|4,4,Homo sapiens,,O00748,ICE | Methylumbelliferyl-acetate deacetylase 2 | CE-2 | Cocaine esterase | Carboxylesterase 2 | CES2 | hCE-2,O00748
CHEMBL4829,O00763-1|O00763-2|O00763-3,1|2|3,3,Homo sapiens,Optimum pH is 7.5.,O00763,Acetyl-CoA carboxylase 2 | ACACB | ACC2 | ACCB | ACC-beta,O00763
CHEMBL4676,O08532-1|O08532-2|O08532-3|O08532-4|O08532-5,2A|2B|2C|2D|2E,5,Mus musculus,,O08532,Voltage-gated calcium channel subunit alpha-2/delta-1 | Cacna2d1 | Voltage-dependent calcium channel subunit alpha-2/delta-1 | Cacna2,O08532
CHEMBL5579,O14578-1|O14578-2|O14578-3|O14578-4,1|2|3|4,4,Homo sapiens,,O14578,CRIK | STK21 | Citron Rho-interacting kinase | KIAA0949 | Serine/threonine-protein kinase 21 | CIT,O14578
CHEMBL5028,O14672-1|O14672-2,1|2,2,Homo sapiens,,O14672, | KUZ | CDw156 | ADAM 10 | Mammalian disintegrin-metalloprotease | Kuzbanian protein homolog | MADM | ADAM10 | Disintegrin and metalloproteinase domain-containing protein 10,O14672
CHEMBL3530,O14733-1|O14733-2|O14733-3|O14733-4,1|2|3|4,4,Homo sapiens,,O14733,JNKK2 | MAP kinase kinase 7 | MKK7 | SAPKK-4 | SAPKK4 | JNK-activating kinase 2 | c-Jun N-terminal kinase kinase 2 | SAPK kinase 4 | MAP2K7 | PRKMK7 | SKK4 | JNKK 2 | MEK 7 | MEK7 | Stress-activated protein kinase kinase 4 | Dual specificity mitogen-activated protein kinase kinase 7 | MAPK/ERK kinase 7 | MAPKK 7 | JNK kinase 2,O14733
CHEMBL1795116,O14744-1|O14744-2|O14744-4|O14744-5|O14744-3,1|2|4|5|3,5,Homo sapiens,,O14744,SKB1 homolog | JBP1 | Protein arginine N-methyltransferase 5 | SKB1 | PRMT5 | HRMT1L5 | 72 kDa ICln-binding protein | Shk1 kinase-binding protein 1 homolog | Jak-binding protein 1 | Histone-arginine N-methyltransferase PRMT5 | SKB1Hs | IBP72,O14744
CHEMBL4523125,O14745-1|O14745-2,1|2,2,Homo sapiens,,O14745,Ezrin-radixin-moesin-binding phosphoprotein 50 | Na(+)/H(+) exchange regulatory cofactor NHE-RF1 | Sodium-hydrogen exchanger regulatory factor 1 | SLC9A3R1 | NHERF-1 | NHERF | NHERF1 | Regulatory cofactor of Na(+)/H(+) exchanger | Solute carrier family 9 isoform A3 regulatory factor 1 | EBP50,O14745
CHEMBL2916,O14746-1|O14746-2|O14746-3|O14746-4,1|2|3|4,4,Homo sapiens,,O14746,Telomerase reverse transcriptase | EST2 | HEST2 | TERT | Telomerase-associated protein 2 | TP2 | TRT | Telomerase catalytic subunit | TCS1,O14746
CHEMBL4630,O14757-1|O14757-2|O14757-3,1|2|3,3,Homo sapiens,,O14757,CHK1 checkpoint homolog | CHK1 | CHEK1 | Checkpoint kinase-1 | Cell cycle checkpoint kinase | Serine/threonine-protein kinase Chk1,O14757
CHEMBL5174,O14786-1|O14786-2|O14786-3,1|2|3,3,Homo sapiens,,O14786, | NRP | Vascular endothelial cell growth factor 165 receptor | VEGF165R | Neuropilin-1 | NRP1,O14786
CHEMBL1991,O14920-1|O14920-2|O14920-3|O14920-4,1|2|3|4,4,Homo sapiens,,O14920,NFKBIKB | IKKB | IKBKB | IKK-beta | Nuclear factor NF-kappa-B inhibitor kinase beta | IKK2 | I-kappa-B kinase 2 | Inhibitor of nuclear factor kappa-B kinase subunit beta | IKK-2 | I-kappa-B-kinase beta | IKK-B | Serine/threonine protein kinase IKBKB | IkBKB,O14920
CHEMBL2734,O14939-1|O14939-3|O14939-4,PLD2A|PLD2C|PLD2B,3,Homo sapiens,,O14939,hPLD2 | Phospholipase D2 | PLD2 | PLD1C | PLD 2 | Phosphatidylcholine-hydrolyzing phospholipase D2 | Choline phosphatase 2,O14939
CHEMBL4355,O14976-1|O14976-2,1|2,2,Homo sapiens,,O14976,Cyclin-G-associated kinase | GAK,O14976
CHEMBL1938211,O15054-2|O15054-1,2|1,2,Homo sapiens,,O15054,JmjC domain-containing protein 3 | Jumonji domain-containing protein 3 | Lysine demethylase 6B | JMJD3 | [histone H3]-trimethyl-L-lysine(27) demethylase 6B | KIAA0346 | KDM6B | Lysine-specific demethylase 6B,O15054
CHEMBL5683,O15075-1|O15075-2|O15075-3|O15075-4,2|1|3|4,4,Homo sapiens,,O15075,Serine/threonine-protein kinase DCLK1 | Doublecortin domain-containing protein 3A | Doublecortin-like kinase 1 | DCAMKL1 | Doublecortin-like and CAM kinase-like 1 | DCLK1 | DCDC3A | KIAA0369,O15075
CHEMBL4772,O15120-1|O15120-2,1|2,2,Homo sapiens,,O15120,1-acylglycerol-3-phosphate O-acyltransferase 2 | Lysophosphatidic acid acyltransferase beta | AGPAT2 | LPAAT-beta | 1-acyl-sn-glycerol-3-phosphate acyltransferase beta | 1-AGPAT 2 | 1-AGP acyltransferase 2,O15120
CHEMBL5684,O15146-1|O15146-2|O15146-3,1|2|3,3,Homo sapiens,,O15146,Muscle-specific tyrosine-protein kinase receptor | Muscle | Muscle-specific kinase receptor | MUSK | skeletal receptor tyrosine-protein kinase | MuSK,O15146
CHEMBL1255126,O15151-1|O15151-2|O15151-3|O15151-4|O15151-5,1|2|3|HDMX211|5,5,Homo sapiens,,O15151,Protein Mdm4 | MDM4 | Mdm2-like p53-binding protein | MDMX | Protein Mdmx | Double minute 4 protein | p53-binding protein Mdm4,O15151
CHEMBL3108638,O15164-1|O15164-2,Long|Short,2,Homo sapiens,,O15164,TIF1 | RNF82 | TIF1A | TIF1-alpha | Transcription intermediary factor 1-alpha | RING-type E3 ubiquitin transferase TIF1-alpha | E3 ubiquitin-protein ligase TRIM24 | Tripartite motif-containing protein 24 | RING finger protein 82 | TRIM24,O15164
CHEMBL2145,O15229-1|O15229-2|O15229-3,1|2|3,3,Homo sapiens,Optimum pH is 7.5.,O15229,Kynurenine 3-hydroxylase | KMO | Kynurenine 3-monooxygenase,O15229
CHEMBL2939,O15264-1|O15264-2,1|2,2,Homo sapiens,,O15264,MAPK 13 | Mitogen-activated protein kinase p38 delta | Mitogen-activated protein kinase 13 | Stress-activated protein kinase 4 | MAPK13 | SAPK4 | PRKM13 | MAP kinase 13 | MAP kinase p38 delta,O15264
CHEMBL1938224,O15297-1|O15297-2,1|2,2,Homo sapiens,,O15297,PP2C-delta | WIP1 | PPM1D | Protein phosphatase 2C isoform delta | p53-induced protein phosphatase 1 | Protein phosphatase 1D | Protein phosphatase magnesium-dependent 1 delta,O15297
CHEMBL1741162,O15305-1|O15305-2,1|2,2,Homo sapiens,,O15305,Phosphomannomutase 2 | PMM2 | PMM 2,O15305
CHEMBL2331064,O15357-1|O15357-2,1|2,2,Homo sapiens,,O15357,"SH2 domain-containing inositol 5'-phosphatase 2 | SH2 domain-containing inositol phosphatase 2 | INPPL-1 | Protein 51C | SHIP-2 | Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 | INPPL1 | Inositol polyphosphate phosphatase-like protein 1 | SHIP2",O15357
CHEMBL1829,O15379-1|O15379-2,1|2,2,Homo sapiens,,O15379,SMAP45 | HDAC3 | HD3 | Protein deacetylase HDAC3 | Histone deacetylase 3 | RPD3-2 | Protein deacylase HDAC3,O15379
CHEMBL3616354,O15382-1|O15382-2,A|B,2,Homo sapiens,,O15382,ECA40 | BCT2 | mitochondrial | PP18 | BCAT(m) | Placental protein 18 | BCATM | Branched-chain-amino-acid aminotransferase | BCAT2,O15382
CHEMBL2534,O15530-1|O15530-2|O15530-3|O15530-4|O15530-5,1|2|3|4|5,5,Homo sapiens,,O15530,PDPK1 | 3-phosphoinositide-dependent protein kinase 1 | hPDK1 | PDK1,O15530
CHEMBL3826863,O15540-1|O15540-2,1|2,2,Homo sapiens,,O15540,BLBP | Fatty acid-binding protein 7 | Brain lipid-binding protein | MRG | B-FABP | Mammary-derived growth inhibitor related | FABPB | Fatty acid-binding protein | Brain-type fatty acid-binding protein | brain | FABP7,O15540
CHEMBL5102,O35433-1|O35433-2|O35433-3,1|2|3,3,Rattus norvegicus,,O35433,Capsaicin receptor | Transient receptor potential cation channel subfamily V member 1 | Vr1 | Trpv1 | Vanilloid receptor type 1-like | OTRPC1 | TrpV1 | Osm-9-like TRP channel 1 | Vanilloid receptor 1 | Vr1l,O35433
CHEMBL1075283,O35493-1|O35493-2,1|2,2,Mus musculus,,O35493,Dual specificity protein kinase CLK4 | CDC-like kinase 4 | Clk4,O35493
CHEMBL2366456,O35505-1|O35505-2,1|2,2,Cavia porcellus,,O35505,Voltage-gated calcium channel subunit alpha Cav1.2 | CACNL1A1 | CCHL1A1 | Voltage-dependent L-type calcium channel subunit alpha-1C | Calcium channel | L type | CACNA1C | CACH2 | cardiac muscle | CACN2 | isoform 1 | alpha-1 polypeptide,O35505
CHEMBL5774,O35678-1|O35678-2,1|2,2,Mus musculus,,O35678,MAGL | MGL | Mgll | Monoglyceride lipase | Monoacylglycerol lipase,O35678
CHEMBL3300,O35795-1|O35795-2,1|2,2,Rattus norvegicus,,O35795,Entpd2 | Ecto-ATP diphosphohydrolase 2 | Ecto-ATPDase 2 | Ectonucleoside triphosphate diphosphohydrolase 2 | CD39 antigen-like 1 | Cd39l1 | NTPDase 2 | Ecto-ATPase 2,O35795
CHEMBL2216745,O35904-1|O35904-2,1|2,2,Mus musculus,,O35904,"PI3Kdelta | Pik3cd | PtdIns-3-kinase subunit p110-delta | Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta | p110delta | PI3K-delta | PtdIns-3-kinase subunit delta | PI3-kinase subunit delta | Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",O35904
CHEMBL5141,O43174-1|O43174-2,1|2,2,Homo sapiens,,O43174,Cytochrome P450 26A1 | CYP26 | Cytochrome P450RAI | Retinoic acid 4-hydroxylase | Cytochrome P450 retinoic acid-inactivating 1 | CYP26A1 | Retinoic acid-metabolizing cytochrome | hP450RAI | P450RAI1,O43174
